,AGOP,PCA,MI,SHAP,Perm
num__GrLivArea,2.0,0.0007298735270464,0.4399679834605146,8360.655328196342,550754649.6
num__OverallQual,1.5543642,0.0019287104797433,0.5334505321864471,9395.297976009557,566868486.4
num__TotalBsmtSF,1.0460011,0.0011053269852505,0.3367966663145747,6640.72908702555,383200057.6
num__1stFlrSF,0.87998307,0.0007311940993881,0.2930559093231175,5431.339927796807,285026336.0
num__2ndFlrSF,0.7623565,8.697879548506182e-05,0.225885724595428,6224.030160084903,321157913.6
num__OverallCond,0.7092012,0.0001650582572839,0.101753972988134,4885.24311155108,142024246.4
num__BsmtFinSF1,0.5848568,0.0003150335400555,0.1581729161158991,5123.082361354878,265049395.2
num__LotArea,0.5202134,5.651009223477746e-05,0.165132829856784,1781.3137073879857,148380243.2
num__Fireplaces,0.43119022,0.0004099716792692,0.1727132208536466,3478.1757496611017,119050112.0
num__TotRmsAbvGrd,0.426821,0.0003250250829881,0.1802530536919424,2753.4921988085066,149023673.6
num__GarageCars,0.34676552,0.0016039247640606,0.366157741618246,2917.4505898259117,99313923.2
num__FullBath,0.34132534,0.0010730682554565,0.2496615545269416,3565.6271349707467,126073625.6
cat__Neighborhood_Crawfor,0.2982391,1.6668755815262126e-05,0.0189827952839596,261.3448741259986,6792988.8
num__3SsnPorch,0.29323497,7.442422537948593e-06,0.0,304.65675631421266,16020692.8
num__HalfBath,0.2708003,0.0002628578386092,0.0861820960686232,2825.620039472744,69976432.0
num__YearRemodAdd,0.2393511,0.0015002240496941,0.2489640314609436,2929.9456333119306,106809084.8
num__YearBuilt,0.23722643,0.002303319845009,0.3282565523204046,3456.0153358126454,118846473.6
num__LotFrontage,0.21574628,0.0002208130283095,0.170452850829883,1414.4470555436644,52856611.2
cat__Neighborhood_Edwards,0.214363,0.0001371529702825,0.0338243600066707,472.4090209403537,964171.2
num__PoolArea,0.20918861,1.4118245911052127e-05,0.0,590.5251427119008,49189276.8
cat__BsmtExposure_Gd,0.18858016,9.78331717261431e-05,0.0272148639016809,710.9416164026825,35548620.8
